temperature,vibration,current,pressure,rpm,load,operating_hours,failure
53.94,1.64,23.68,5.35,1771,77.93,8499,0
61.78,0.51,14.18,7.88,1644,88.07,2997,0
60.05,2.49,8.83,8.15,1722,89.25,2274,1
39.65,1.95,27.34,9.69,1506,63.8,2316,0
64.89,1.93,20.02,7.39,1565,84.69,8019,1
60.09,1.03,13.81,7.83,1601,83.69,2296,0
50.19,1.69,8.69,8.54,1599,44.56,3369,0
72.62,1.91,29.69,8.07,1662,93.31,7534,1
45.58,1.84,19.42,8.41,1470,39.27,507,0
58.54,1.59,17.58,7.42,1537,41.57,4572,0
71.91,2.13,25.12,5.43,1561,58.12,3555,1
56.93,0.6,18.59,10.0,1523,66.67,3972,0
34.28,1.51,32.37,6.98,1477,67.3,1304,0
70.73,1.22,20.12,6.1,1678,80.17,7205,0
72.23,0.91,20.94,5.93,1684,50.09,5928,0
61.21,0.56,8.79,9.61,1456,63.26,7603,0
37.79,1.41,8.88,8.96,1504,96.27,6554,1
50.4,2.39,15.57,8.38,1639,92.19,7625,1
35.13,1.2,15.45,6.47,1642,50.92,7689,0
43.87,1.95,9.75,7.87,1716,42.06,180,0
64.36,0.29,24.1,5.66,1780,98.64,5053,1
53.26,0.34,22.43,6.0,1786,82.56,7261,0
73.54,2.01,11.96,9.93,1460,80.75,2853,0
32.15,1.76,14.7,5.08,1567,76.78,1446,0
57.74,0.29,14.16,6.55,1527,77.98,1793,0
71.62,2.21,23.59,5.63,1740,41.22,1262,0
69.07,2.13,21.91,7.59,1513,76.15,819,0
42.54,0.85,34.34,9.56,1579,66.45,2329,0
73.81,2.07,10.99,8.62,1713,50.37,3643,0
41.25,0.75,21.36,5.83,1650,54.17,3095,0
44.23,0.99,21.72,6.66,1599,48.92,2699,0
46.54,0.85,9.83,8.15,1584,58.83,4684,0
67.48,1.52,32.81,8.41,1558,68.65,5027,1
34.57,1.46,30.91,6.56,1516,57.3,6217,0
33.3,0.19,22.07,8.22,1730,79.77,5155,0
73.28,0.38,26.83,9.72,1641,72.19,7515,1
37.02,1.41,22.56,9.86,1683,86.23,5548,0
69.26,0.9,23.42,7.99,1515,43.8,3082,0
49.51,2.38,33.54,6.7,1687,66.39,6900,1
48.39,1.5,9.29,7.08,1608,98.01,4056,0
50.84,0.53,21.42,8.13,1713,43.94,480,0
73.73,1.27,18.25,9.71,1498,94.27,6633,1
46.13,2.04,33.87,9.06,1701,92.32,5142,1
50.18,1.61,32.6,6.99,1460,43.92,4944,0
64.15,0.5,9.17,8.53,1572,45.48,1923,0
